Date,Open,High,Low,Close,Adj Close,Volume
2024-01-01,3790.0,3832.0,3773.0,3811.10009765625,3757.422119140625,825907
2024-01-02,3811.10009765625,3811.10009765625,3767.25,3783.199951171875,3729.914794921875,1344068
2024-01-03,3767.0,3771.85009765625,3687.050048828125,3691.75,3639.7529296875,1803075
2024-01-04,3701.75,3719.0,3651.0,3666.800048828125,3615.154296875,3598144
2024-01-05,3675.0,3747.75,3674.85009765625,3737.89990234375,3685.252685546875,1963127
2024-01-08,3737.89990234375,3739.75,3672.39990234375,3678.300048828125,3626.492431640625,1067805
2024-01-09,3709.949951171875,3752.35009765625,3682.75,3689.89990234375,3637.928955078125,1370944
2024-01-10,3690.0,3729.25,3688.0,3713.050048828125,3660.753173828125,1292227
2024-01-11,3724.0,3773.0,3707.0,3735.550048828125,3682.936279296875,1777909
2024-01-12,3848.0,3905.25,3821.60009765625,3882.800048828125,3828.1123046875,6813450
2024-01-15,3960.0,3965.0,3885.0,3903.800048828125,3848.81640625,2801505
2024-01-16,3899.0,3899.0,3855.550048828125,3861.300048828125,3806.9150390625,1432672
2024-01-17,3819.0,3909.949951171875,3812.550048828125,3884.60009765625,3829.886962890625,3458696
2024-01-18,3898.0,3908.800048828125,3862.0,3902.60009765625,3847.63330078125,2239110
2024-01-19,3945.0,3963.550048828125,3915.050048828125,3943.050048828125,3905.52734375,2941975
2024-01-23,3900.0,3933.89990234375,3842.75,3858.25,3821.5341796875,2618854
2024-01-24,3880.0,3883.64990234375,3805.60009765625,3841.800048828125,3805.24072265625,2657709
2024-01-25,3839.89990234375,3861.0,3778.699951171875,3810.300048828125,3774.04052734375,2205154
2024-01-29,3800.800048828125,3820.0,3780.85009765625,3801.0,3764.828857421875,1646747
2024-01-30,3807.449951171875,3847.800048828125,3787.0,3800.550048828125,3764.383056640625,1411621
2024-01-31,3811.199951171875,3834.0,3796.449951171875,3815.949951171875,3779.636474609375,2459358
2024-02-01,3820.0,3904.89990234375,3805.050048828125,3854.14990234375,3817.472900390625,2363107
2024-02-02,3875.050048828125,3984.39990234375,3872.0,3966.300048828125,3928.555908203125,2826510
2024-02-05,3983.0,4022.0,3962.10009765625,3973.300048828125,3935.4892578125,1691523
2024-02-06,3997.0,4149.89990234375,3990.0,4136.0,4096.64111328125,4474396
2024-02-07,4153.0,4155.0,4073.949951171875,4083.39990234375,4044.541259765625,2124267
2024-02-08,4090.0,4158.0,4086.050048828125,4134.10009765625,4094.75927734375,2345173
2024-02-09,4136.5498046875,4184.75,4100.0,4133.7001953125,4094.363037109375,2100596
2024-02-12,4130.0,4159.60009765625,4105.5498046875,4120.7001953125,4081.48681640625,1013716
2024-02-13,4125.4501953125,4170.0,4081.5,4149.5,4110.01220703125,1257415
2024-02-14,4107.0,4114.89990234375,4049.5,4100.10009765625,4061.082763671875,1391283
2024-02-15,4128.0,4146.2998046875,4083.0,4103.2001953125,4064.1533203125,1091582
2024-02-16,4113.25,4147.9501953125,4100.10009765625,4128.2998046875,4089.01416015625,1307556
2024-02-19,4123.0498046875,4128.2998046875,4055.0,4103.7998046875,4064.7470703125,772291
2024-02-20,4082.10009765625,4098.0,4010.0,4030.64990234375,3992.293212890625,1193648
2024-02-21,4013.0,4063.35009765625,3980.60009765625,3991.5,3953.51611328125,1885939
2024-02-22,3971.0,4094.949951171875,3971.0,4087.10009765625,4048.206298828125,2982052
2024-02-23,4130.0,4130.0,4046.39990234375,4052.10009765625,4013.539306640625,2538072
2024-02-26,4036.0,4050.0,3982.75,4001.050048828125,3962.97509765625,1379284
2024-02-27,3999.0,4124.0,3999.0,4104.39990234375,4065.341552734375,2960475
2024-02-28,4095.60009765625,4154.89990234375,4089.0,4118.9501953125,4079.75341796875,1939225
2024-02-29,4099.0,4138.10009765625,4064.550048828125,4095.10009765625,4056.13037109375,3772719
2024-03-01,4107.2001953125,4140.0,4086.800048828125,4094.35009765625,4055.387451171875,2043265
2024-03-04,4105.0,4117.89990234375,4075.89990234375,4080.699951171875,4041.8671875,1749271
2024-03-05,4062.0,4064.0,3980.0,4012.10009765625,3973.920166015625,2070859
2024-03-06,3994.050048828125,4072.0,3958.449951171875,4064.300048828125,4025.623291015625,1744204
2024-03-07,4065.0,4124.0,4037.699951171875,4108.60009765625,4069.501953125,2688905
2024-03-11,4089.0,4153.0,4089.0,4122.35009765625,4083.120849609375,2304068
2024-03-12,4122.35009765625,4229.9501953125,4121.0498046875,4192.25,4152.35595703125,4039801
2024-03-13,4205.0,4241.0,4131.89990234375,4149.0,4109.517578125,2837260
2024-03-14,4153.4501953125,4225.0,4086.0,4207.60009765625,4167.5595703125,2919608
2024-03-15,4192.60009765625,4239.0,4177.0,4219.25,4179.09912109375,3373143
2024-03-18,4215.25,4254.75,4117.85009765625,4152.5,4112.98388671875,1526904
